OptimNumber,lambda0,lambda1,mu0,mu1,rho,q01,q10,e0,e1,nloglike,Comments
200,0.090264061,0.005539675,0.110317343,0.030354732,0.020717929,0.013520223,0.006089514,8678.246134,24.77086047,13194.72912,
396,0.070534625,0.017309672,0.097840384,0.021295142,0.021023186,0.012550315,0.005144963,7073.557495,9.387414182,13196.42691,
238,0.075430239,0.011205503,0.105479999,0.026011938,0.020239689,0.013692315,0.005925258,30827.25092,1.074307631,13197.18585,
492,0.041471771,0.008656394,0.112810264,0.026905251,0.019524208,0.012476463,0.007638714,671.412565,54.67505119,13200.5901,
157,0.047850905,0.014249976,0.101196113,0.024920251,0.021819019,0.011364764,0.007638793,71635.25703,301.4514887,13200.7289,
434,0.079886021,0.006749043,0.116717128,0.029068915,0.020158208,0.011581471,0.00790364,5862.090025,2.130418338,13202.17209,
287,0.233442176,0.004343962,0.266159289,0.004430988,0.017052982,0.027558795,0.014664667,13.09225323,1.690191426,13203.73568,
89,0.071390525,0.007266869,0.111182697,0.034877101,0.020973707,0.012150097,0.003128589,1857.276279,48.63783314,13206.4403,
299,0.056338577,0.016456546,0.091016209,0.026375731,0.020561238,0.012431207,0.006373314,7135.150308,0.00301529,13207.10719,
266,0.23187634,0.003280362,0.269694047,0.00320659,0.016268574,0.029303039,0.015740614,1249.113745,53.78575586,13207.24446,
345,0.26377643,0.002048183,0.273632762,0.004543729,0.016349703,0.029202973,0.015034336,81.75270146,2.629672973,13207.63246,
242,0.136652415,0.002748758,0.17658589,0.022572346,0.019252885,0.015233916,0.008224206,11423.82421,525.3625124,13210.39527,
